     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           145  0.000108              0.015628       0.683986       0.000009      **********
           146  0.000108              0.015736       0.684999       0.000009      **********
           147  0.000108              0.015844       0.685567       0.000009      **********
           148  0.000108              0.015952       0.685682       0.000009      **********
           149  0.000108              0.016059       0.685344       0.000009      **********
           150  0.000108              0.016167       0.684825       0.000009      **********
           151  0.000108              0.016275       0.688255       0.000009      **********
           152  0.000108              0.016383       0.691327       0.000009      **********
           153  0.000108              0.016490       0.694026       0.000009      **********
           154  0.000108              0.016598       0.696336       0.000009      **********
           155  0.000108              0.016706       0.698245       0.000009      **********
           156  0.000108              0.016814       0.699742       0.000009      **********
           157  0.000108              0.016922       0.700817       0.000009      **********
           158  0.000108              0.017029       0.701463       0.000009      **********
           159  0.000108              0.017137       0.701673       0.000009      **********
           160  0.000108              0.017245       0.701444       0.000009      **********
           161  0.000108              0.017353       0.700774       0.000009      **********
           162  0.000108              0.017460       0.701434       0.000009      **********
           163  0.000108              0.017568       0.704499       0.000009      **********
           164  0.000108              0.017676       0.707212       0.000009      **********
           165  0.000108              0.017784       0.709560       0.000009      **********
           166  0.000108              0.017892       0.711531       0.000009      **********
           167  0.000108              0.017999       0.713112       0.000009      **********
           168  0.000108              0.018107       0.714294       0.000009      **********
           169  0.000108              0.018215       0.715068       0.000009      **********
           170  0.000108              0.018323       0.715426       0.000009      **********
           171  0.000108              0.018430       0.715362       0.000009      **********
           172  0.000108              0.018538       0.714873       0.000009      **********
           173  0.000108              0.018646       0.713957       0.000009      **********
           174  0.000108              0.018754       0.715459       0.000009      **********
           175  0.000108              0.018862       0.718203       0.000009      **********
           176  0.000108              0.018969       0.720607       0.000009      **********
           177  0.000108              0.019077       0.722658       0.000009      **********
           178  0.000108              0.019185       0.724344       0.000009      **********
           179  0.000108              0.019293       0.725653       0.000009      **********
           180  0.000108              0.019401       0.726574       0.000009      **********
           181  0.000108              0.019508       0.727099       0.000009      **********
           182  0.000108              0.019616       0.727221       0.000009      **********
           183  0.000108              0.019724       0.726935       0.000009      **********
           184  0.000108              0.019832       0.726237       0.000009      **********
           185  0.000108              0.019939       0.725128       0.000009      **********
           186  0.000108              0.020047       0.727367       0.000009      **********
           187  0.000108              0.020155       0.729833       0.000009      **********
           188  0.000108              0.020263       0.731966       0.000009      **********
           189  0.000108              0.020371       0.733754       0.000009      **********
           190  0.000108              0.020478       0.735184       0.000009      **********
           191  0.000108              0.020586       0.736244       0.000009      **********
           192  0.000108              0.020694       0.736925       0.000009      **********
           193  0.000108              0.020802       0.737221       0.000009      **********
           194  0.000108              0.020909       0.737124       0.000009      **********
           195  0.000108              0.021017       0.736632       0.000009      **********
           196  0.000108              0.021125       0.735745       0.000009      **********
           197  0.000108              0.021233       0.735091       0.000009      **********
           198  0.000108              0.021341       0.737606       0.000009      **********
           199  0.000108              0.021448       0.739802       0.000009      **********
           200  0.000108              0.021556       0.741667       0.000009      **********
           201  0.000108              0.021664       0.743188       0.000009      **********
           202  0.000108              0.021772       0.744352       0.000009      **********
           203  0.000108              0.021879       0.745152       0.000009      **********
           204  0.000108              0.021987       0.745580       0.000009      **********
           205  0.000108              0.022095       0.745633       0.000009      **********
           206  0.000108              0.022203       0.745309       0.000009      **********
           207  0.000108              0.022311       0.744608       0.000009      **********
           208  0.000108              0.022418       0.743534       0.000009      **********
           209  0.000108              0.022526       0.744243       0.000009      **********
           210  0.000108              0.022634       0.746464       0.000009      **********
           211  0.000108              0.022742       0.748363       0.000009      **********
           212  0.000108              0.022849       0.749927       0.000009      **********
           213  0.000108              0.022957       0.751147       0.000009      **********
           214  0.000108              0.023065       0.752016       0.000009      **********
           215  0.000108              0.023173       0.752529       0.000009      **********
           216  0.000108              0.023281       0.752684       0.000009      **********
           217  0.000108              0.023388       0.752482       0.000009      **********
           218  0.000108              0.023496       0.751925       0.000009      **********
           219  0.000108              0.023604       0.751019       0.000009      **********
           220  0.000108              0.023712       0.749998       0.000009      **********
           221  0.000108              0.023820       0.752197       0.000009      **********
           222  0.000108              0.023927       0.754079       0.000009      **********
           223  0.000108              0.024035       0.755637       0.000009      **********
           224  0.000108              0.024143       0.756862       0.000009      **********
           225  0.000108              0.024251       0.757751       0.000009      **********
           226  0.000108              0.024358       0.758301       0.000009      **********
           227  0.000108              0.024466       0.758513       0.000009      **********
           228  0.000108              0.024574       0.758390       0.000009      **********
           229  0.000108              0.024682       0.757937       0.000009      **********
           230  0.000108              0.024790       0.757160       0.000009      **********
           231  0.000108              0.024897       0.756068       0.000009      **********
           232  0.000108              0.025005       0.757182       0.000009      **********
           233  0.000108              0.025113       0.759005       0.000009      **********
           234  0.000108              0.025221       0.760513       0.000009      **********
           235  0.000108              0.025328       0.761703       0.000009      **********
           236  0.000108              0.025436       0.762572       0.000009      **********
           237  0.000108              0.025544       0.763123       0.000009      **********
           238  0.000108              0.025652       0.763357       0.000009      **********
           239  0.000108              0.025760       0.763281       0.000009      **********
           240  0.000108              0.025867       0.762900       0.000009      **********
           241  0.000108              0.025975       0.762222       0.000009      **********
           242  0.000108              0.026083       0.761258       0.000009      **********
           243  0.000108              0.026191       0.761556       0.000009      **********
           244  0.000108              0.026298       0.763290       0.000009      **********
           245  0.000108              0.026406       0.764723       0.000009      **********
           246  0.000108              0.026514       0.765853       0.000009      **********
           247  0.000108              0.026622       0.766681       0.000009      **********
           248  0.000108              0.026730       0.767211       0.000009      **********
